date;JBSS3;BBAS3;PRIO3;TAEE11;SMTO3;TOTS3;GGBR3;USIM3;EGIE3;MRFG3;HYPE3;AZZA3;ITUB3;BEEF3;PFRM3;IBOVESPA;SELIC;;;;;;;;;;;;;;
2022-03-31;0,037;0,016;-0,078;0,121;0,108;0,101;0,194;-0,045;0,085;-0,035;0,165;0,110;0,082;0,171;-0,073;0,061;0,93%;;;;;;;;;;;;;;
2022-04-29;0,017;-0,043;0,121;0,003;0,046;-0,121;-0,086;-0,150;-0,031;-0,072;-0,033;-0,008;-0,149;0,064;-0,103;-0,101;0,83%;;;;;;;;;;;;;;
2022-05-31;-0,033;0,107;0,048;-0,048;0,086;-0,113;0,069;-0,011;0,065;-0,166;0,037;-0,099;0,117;0,083;-0,040;0,032;1,03%;;;;;;;;;;;;;;
2022-06-30;-0,113;-0,082;-0,214;-0,044;-0,273;-0,180;-0,221;-0,211;-0,059;-0,225;-0,011;-0,133;-0,127;-0,067;-0,091;-0,115;1,02%;;;;;;;;;;;;;;
2022-07-29;0,011;0,078;0,101;0,048;-0,036;0,134;0,099;0,015;0,071;0,090;0,120;0,148;0,039;-0,013;-0,060;0,047;1,03%;;;;;;;;;;;;;;
2022-08-31;-0,074;0,165;0,128;0,066;-0,080;0,087;0,039;-0,025;-0,069;0,047;0,011;0,167;0,107;0,198;0,141;0,062;1,17%;;;;;;;;;;;;;;
2022-09-30;-0,151;-0,070;0,008;-0,065;-0,199;0,028;0,019;0,010;-0,049;-0,249;0,035;0,065;0,063;-0,188;0,080;0,005;1,07%;;;;;;;;;;;;;;
2022-10-31;-0,006;-0,039;0,286;0,032;0,057;0,130;0,087;-0,099;0,044;0,084;0,148;0,062;0,082;0,091;-0,007;0,055;1,02%;;;;;;;;;;;;;;
2022-11-30;-0,081;-0,030;0,019;-0,126;0,063;-0,069;0,271;0,045;-0,004;-0,182;-0,125;-0,143;-0,113;-0,086;-0,080;-0,031;1,02%;;;;;;;;;;;;;;
2022-12-29;-0,003;-0,005;0,032;-0,012;-0,059;-0,105;-0,039;-0,040;-0,035;0,124;0,024;-0,117;-0,005;0,037;0,049;-0,022;1,12%;;;;;;;;;;;;;;
2023-01-31;-0,087;0,172;0,131;0,113;-0,057;0,097;0,101;0,181;0,039;-0,115;0,027;0,119;-0,015;0,079;0,025;0,032;1,12%;;;;;;;;;;;;;;
2023-02-28;-0,044;0,010;-0,200;-0,041;0,088;-0,092;-0,105;-0,167;-0,002;-0,173;-0,102;-0,148;0,009;-0,190;-0,069;-0,076;0,92%;;;;;;;;;;;;;;
2023-03-31;-0,070;-0,020;-0,074;-0,021;-0,007;0,032;-0,021;0,093;0,023;0,042;-0,088;-0,149;-0,017;-0,070;-0,066;-0,029;1,17%;;;;;;;;;;;;;;
2023-04-28;0,003;0,096;0,114;0,045;0,162;-0,089;0,007;-0,077;0,026;-0,020;-0,012;0,045;0,050;-0,156;-0,018;0,025;0,92%;;;;;;;;;;;;;;
2023-05-31;-0,061;0,041;-0,016;0,016;0,152;0,121;-0,038;0,000;0,063;0,020;0,096;0,111;0,013;0,195;0,075;0,037;1,12%;;;;;;;;;;;;;;
2023-06-30;0,098;0,131;0,085;0,020;-0,044;0,042;0,070;0,034;0,087;0,095;0,127;0,072;0,109;0,040;0,142;0,090;1,07%;;;;;;;;;;;;;;
2023-07-31;0,076;-0,024;0,230;-0,044;0,004;-0,006;0,166;0,007;-0,036;0,021;-0,054;0,053;0,010;-0,051;0,000;0,033;1,07%;;;;;;;;;;;;;;
2023-08-31;-0,020;-0,009;0,018;-0,026;0,079;-0,062;-0,071;-0,052;-0,022;0,004;-0,099;-0,142;-0,058;-0,152;0,010;-0,051;1,14%;;;;;;;;;;;;;;
2023-09-29;-0,019;0,009;0,013;0,011;0,087;-0,027;-0,076;-0,003;-0,016;-0,038;-0,039;-0,081;0,001;-0,037;-0,023;0,007;0,97%;;;;;;;;;;;;;;
2023-10-31;0,110;0,025;0,014;-0,022;-0,097;-0,063;-0,097;-0,043;-0,051;-0,094;-0,184;-0,101;-0,014;-0,064;-0,087;-0,029;1,00%;;;;;;;;;;;;;;
2023-11-30;0,159;0,122;-0,037;0,097;-0,066;0,316;0,044;0,176;0,107;0,505;0,115;0,035;0,179;-0,041;0,527;0,125;0,92%;;;;;;;;;;;;;;
2023-12-28;0,073;0,027;0,004;0,053;-0,115;0,018;0,042;0,178;0,046;-0,002;0,067;0,087;0,088;0,029;0,150;0,054;0,89%;;;;;;;;;;;;;;
2024-01-31;-0,059;0,019;-0,046;-0,034;-0,038;-0,064;-0,073;-0,054;-0,105;-0,030;-0,112;-0,030;-0,032;-0,083;-0,182;-0,048;0,97%;;;;;;;;;;;;;;
2024-02-29;-0,016;0,025;-0,005;-0,028;0,004;-0,026;0,021;0,241;0,035;0,052;0,039;-0,054;0,091;-0,006;0,224;0,010;0,80%;;;;;;;;;;;;;;
2024-03-28;-0,068;-0,014;0,115;0,026;0,096;-0,075;-0,005;-0,132;-0,042;0,041;0,004;0,085;0,031;-0,009;-0,009;-0,007;0,83%;;;;;;;;;;;;;;
2024-04-30;0,090;-0,031;-0,015;-0,030;-0,079;-0,030;-0,028;-0,175;0,016;-0,083;-0,101;-0,192;-0,087;-0,093;-0,005;-0,017;0,89%;;;;;;;;;;;;;;
2024-05-31;0,230;-0,011;-0,133;0,017;-0,051;0,043;0,010;-0,067;0,090;0,194;-0,077;-0,049;-0,013;0,013;-0,085;-0,030;0,83%;;;;;;;;;;;;;;
2024-06-28;0,119;0,009;0,052;-0,001;0,223;0,060;0,014;0,093;0,022;0,096;0,061;0,039;0,052;0,077;-0,009;0,015;0,79%;;;;;;;;;;;;;;
2024-07-31;0,045;-0,006;0,098;-0,013;-0,099;-0,088;-0,028;-0,208;-0,001;-0,085;0,007;-0,043;0,037;-0,058;0,128;0,030;0,91%;;;;;;;;;;;;;;
2024-08-30;0,095;0,077;-0,025;0,069;-0,046;0,089;0,027;0,008;0,046;0,287;-0,009;0,007;0,093;0,191;0,073;0,065;0,87%;;;;;;;;;;;;;;
2024-09-30;-0,096;-0,027;-0,075;-0,034;-0,054;-0,047;0,041;-0,013;-0,060;-0,063;-0,074;-0,139;-0,003;-0,154;-0,125;-0,031;0,84%;;;;;;;;;;;;;;
2024-10-30;0,160;-0,030;-0,049;0,016;-0,013;0,033;0,050;0,053;-0,028;0,130;-0,081;-0,035;-0,033;-0,060;0,165;-0,009;0,93%;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Retorno medio ;2,13%;1,87%;4,52%;1,36%;1,63%;1,26%;1,60%;1,09%;0,96%;1,79%;0,84%;0,82%;1,23%;0,59%;0,26%;0,95%;0,75%;;;;;;;;;;;;;;
Variança ;0,011;0,014;0,044;0,005;0,011;0,009;0,016;0,026;0,003;0,020;0,007;0,010;0,006;0,015;0,020;0,004;;;;;;;;;;;;;;;
Desvio Padão;10,51%;11,78%;21,01%;6,83%;10,26%;9,46%;12,78%;16,12%;5,89%;13,99%;8,29%;10,10%;7,81%;12,16%;14,05%;6,37%;;;;;;;;;;;;;;;
